genome	tax	AMO	hao	NXR	NAP	NAR	NAS	NIR	ccNIR	ppk1	ppk2	ppx	Ni_MP_aver	Cd_MP_aver	Cr_O_aver	Ni_O_aver	Cd_O_aver	Cr_LP_aver	Ni_LP_aver	Cd_LP_aver	Cd_HP_aver	Ni_HP_aver	Cr_MP_aver	Cr_HP_aver	CK	LDAgroup	LDA_socre	pvalue
MAG-162	p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium lindanitolerans									Yes			0.199624	0.009179	0.0076	0.021783	0.013802	0.035222	0.024314	0.018911	0.049273	278.946151	0.049825	0.789019	0.016195			-
MAG-163	p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Accumulibacter;s__			Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	2.98548	28.19536	15.837956	11.599321	20.293593	0.950845	2.998377	71.383534	4.128201	1.891913	0.805761	0.9965835	4.581848	Cd	4.047613661	0.0099267
MAG-164	p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__									Yes			4.453297	0.231209	0.544413	1.013163	0.597402	1.088938	2.255723	0.336706	0.285286	326.536368	0.860089	2.055958	0.197233	Ni	4.274203341	0.008687479
MAG-165	p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Dechloromonas;s__				Yes		Yes	Yes		Yes	Yes	Yes	59.832804	13.245012	8.716578	12.740545	10.530254	15.665471	48.931137	10.829878	222.453259	180.563035	8.143335	132.213031	15.242328			-
MAG-166	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__									Yes			32.031664	313.574318	38.530115	15.157255	33.472049	125.383689	8.049372	67.569148	280.815508	3.894358	62.962504	11.955706	12.142306	Cd	4.535789358	0.012673545
MAG-167	p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__					Yes	Yes	Yes		Yes	Yes		3.720883	5.853389	5.831715	3.204002	6.01174	0.364083	0.537096	3.302706	1.402487	1.111253	0.55602	0.426389	14.765534			-
MAG-168	p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__;s__						Yes		Yes	Yes	Yes		1.114983	0	0.3409	0	0.163002	0	0.129559	0	0	0.7998195	0	0	17.0651945	CK	3.098400117	0.04369497
MAG-169	p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Accumulibacter;s__						Yes	Yes		Yes	Yes	Yes	2.481809	13.265392	34.33568	16.636485	49.946484	1.158622	2.697759	84.007401	2.605067	0.966752	1.050343	1.220877	12.945535	Cd	3.857855973	0.041063432
MAG-17	p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__							Yes			Yes		0	0.273256	4.176378	1.003869	2.672943	4.698996	0	0.666366	0	0	8.067772	3.575372	0.557291	Cr	2.952479132	0.00869302
MAG-170	p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Ga0077529;g__GCA-2702655;s__								Yes	Yes	Yes		1.677076	0.410185	0.332387	0.520385	0.361445	12.285329	2.006644	0.503679	0.206679	0.753792	16.023343	33.350674	0.547531	Cr	3.3539608	0.005495509
MAG-171	p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__									Yes	Yes		0.363838	1.246207	0.173351	0.264579	0.243987	0.067641	0.543937	0.365235	57.272275	0.152557	0.061349	0.05845	2.43757			-
MAG-172	p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__							Yes	Yes	Yes	Yes		0.767458	15.758476	4.516999	3.368612	4.751813	0.303934	1.282165	10.875297	15.494936	0.408655	0.180364	0.077723	11.08181	Cd	3.400669024	0.007457412
MAG-173	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__OLB11;s__			Yes		Yes				Yes	Yes		0	0.958989	3.001902	4.569011	7.775139	0.091693	11.988555	4.352236	0	0	2.886149	0	1.218033			-
MAG-174	p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__												12.29178	5.095586	22.366039	16.567842	18.815124	0.184637	2.548155	9.054804	2.616641	0.715221	0.123925	0	46.339162			-
